"country","lat","diagnosis","study_no","url","pubMedId","registry_ID","site_name","enrolment","pub_year","drugs","pub_title","region","lon","status","authors","other_drugs","t_design","multiRegional","diagnosticMethod","hiv_co_infection","disease","otherCountries"
Brazil (BRA),-19.986212,Bone,"163",http://www.ncbi.nlm.nih.gov/pubmed/24743472,24743472,-9,Eduardo de Menezes Hospital,90,2014,Pentavalent antimonial,Leishmania-HIV co-infection: clinical presentation and outcomes in an urban area in Brazil.,South America,-43.989302,Published,"Cota GF, de Sousa MR, de Mendonça AL, Patrocinio A, Assunção LS, de Faria SR, Rabello A",Amphotericin B; Meglumine antimoniate; Liposomal Amphotericin B,Comparative,0,Parasitological,Yes,vl,
Brazil (BRA),-19.986212,Bone,"163",http://www.ncbi.nlm.nih.gov/pubmed/24743472,24743472,-9,Eduardo de Menezes Hospital,90,2014,Amphotericin B deoxycholate,Leishmania-HIV co-infection: clinical presentation and outcomes in an urban area in Brazil.,South America,-43.989302,Published,"Cota GF, de Sousa MR, de Mendonça AL, Patrocinio A, Assunção LS, de Faria SR, Rabello A",Amphotericin B; Meglumine antimoniate; Liposomal Amphotericin B,Comparative,0,Parasitological,Yes,vl,
Brazil (BRA),-19.986212,Bone,"163",http://www.ncbi.nlm.nih.gov/pubmed/24743472,24743472,-9,Eduardo de Menezes Hospital,90,2014,Liposomal Amphotericin B (L-AmB),Leishmania-HIV co-infection: clinical presentation and outcomes in an urban area in Brazil.,South America,-43.989302,Published,"Cota GF, de Sousa MR, de Mendonça AL, Patrocinio A, Assunção LS, de Faria SR, Rabello A",Amphotericin B; Meglumine antimoniate; Liposomal Amphotericin B,Comparative,0,Parasitological,Yes,vl,
India (IND),25.613897,Bone,"56",http://www.ncbi.nlm.nih.gov/pubmed/15489555,15489554,-9,"Balaji Uthan Sansthan, Patna, India",282,2004,Sodium stibogluconate,"Epidemiological, clinical & pharmacological study of antimony-resistant visceral leishmaniasis in Bihar, India.",India Subcontinent,85.139591,Published,"Thakur CP, Narayan S, Ranjan A.",Amphotericin B; Sodium stibogluconate,Comparative,0,Parasitological,No,vl,
India (IND),25.613897,Bone,"56",http://www.ncbi.nlm.nih.gov/pubmed/15489555,15489554,-9,"Balaji Uthan Sansthan, Patna, India",282,2004,Amphotericin B - formulation unknown,"Epidemiological, clinical & pharmacological study of antimony-resistant visceral leishmaniasis in Bihar, India.",India Subcontinent,85.139591,Published,"Thakur CP, Narayan S, Ranjan A.",Amphotericin B; Sodium stibogluconate,Comparative,0,Parasitological,No,vl,
United States of America (USA),38.998104,Unspecified,"247",https://ClinicalTrials.gov/show/NCT00657618,,NCT00657618,Walter Reed Army Medical Center,77,,Sodium stibogluconate,Department of Defense Protocol for the Use of Sodium Stibogluconate (Pentostam) as a Treatment for Leishmaniasis,North America,-77.094372,Not Published,Roseanne Ressner,"",Single Group,0,Mixed,Unspecified,vl,
India (IND),25.599832,Spleen,"84",http://www.ncbi.nlm.nih.gov/pubmed/17624847,17624846,-9,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",1132,2007,Miltefosine,Phase 4 trial of miltefosine for the treatment of Indian visceral leishmaniasis.,India Subcontinent,85.195326,Published,"Bhattacharya SK, Sinha PK, Sundar S, Thakur CP, Jha TK, Pandey K, Das VR, Kumar N, Lal C, Verma N, Singh VP, Ranjan A, Verma RB, Anders G, Sindermann H, Ganguly NK.",Miltefosine,Single Group,0,Parasitological,No,vl,
India (IND),25.620021,Spleen/bone,"124",http://www.ncbi.nlm.nih.gov/pubmed/9615495,9615494,-9,"Patna Medical College Hospital, Bihar, India",87,1998,Liposomal Amphotericin B (L-AmB),Efficacy and safety of liposomal amphotericin B (AmBisome) for visceral leishmaniasis in endemic developing countries.,India Subcontinent,85.159811,Published,"Berman JD, Badaro R, Thakur CP, Wasunna KM, Behbehani K, Davidson R, Kuzoe F, Pang L, Weerasuriya K, Bryceson AD.",Liposomal Amphotericin B,Dose finding,1,Parasitological,Unspecified,vl,"Brazil, Kenya"
India (IND),28.566465,Spleen/bone,"8",http://www.ncbi.nlm.nih.gov/pubmed/9282505,9282505,-9,All India Institute of Medical Science,180,1997,Ketoconazole,Efficacy of sodium antimony gluconate and ketoconazole in the treatment of kala-azar--a comparative study.,India Subcontinent,77.2097,Published,"Wali JP, Aggarwal P, Nandy A, Singh S, Addy M, Guha SK, Dwivedi SN, Karmarkar MG, Maji AK.",Ketoconazole; Sodium stibogluconate,Comparative,1,Parasitological,Unspecified,vl,
India (IND),28.566465,Spleen/bone,"8",http://www.ncbi.nlm.nih.gov/pubmed/9282505,9282505,-9,All India Institute of Medical Science,180,1997,Sodium stibogluconate,Efficacy of sodium antimony gluconate and ketoconazole in the treatment of kala-azar--a comparative study.,India Subcontinent,77.2097,Published,"Wali JP, Aggarwal P, Nandy A, Singh S, Addy M, Guha SK, Dwivedi SN, Karmarkar MG, Maji AK.",Ketoconazole; Sodium stibogluconate,Comparative,1,Parasitological,Unspecified,vl,
Kenya (KEN),1.481702,,"183",https://www.ncbi.nlm.nih.gov/pubmed/30188979,30188979,NCT02431144,"Kacheliba Hospital, Kacheliba, West Pokot, Kenya",30,2018,Miltefosine,"Pharmacokinetics, safety and efficacy of an allometric miltefosine regimen for the treatment of visceral leishmaniasis in Eastern African children: an open-label, phase-II clinical trial",Eastern Africa,35.01022,Completed,Rashid Juma,Miltefosine,Single Group,1,Parasitological,No,vl,Uganda
India (IND),26.166981,Bone,"59",http://www.ncbi.nlm.nih.gov/pubmed/6868097,6868096,-9,S.K Medical College Hospital,82,1983,Pentamidine isethionate,"Evaluation of diamidine compound (pentamidine isethionate) in the treatment-resistant cases of kala-azar occurring in North Bihar, India.",India Subcontinent,85.391184,Published,Jha TK.,Pentamidine,Single Group,0,Parasitological,Unspecified,vl,
Yemen (YEM),15.699151,Spleen/bone,"141",http://www.ncbi.nlm.nih.gov/pubmed/11426244,11426243,-9,"Saudi Hospital,Hajjh, Republic of Yemen.",32,2001,Sodium stibogluconate,Visceral Leishmaniasis in children in the Yemen.,Central Asia,43.600359,Published,"Haidar NA, Diab AB, El-Sheik AM.",Sodium stibogluconate,Single Group,0,Parasitological,Unspecified,vl,
India (IND),25.781675,,"233",https://www.ncbi.nlm.nih.gov/pubmed/30346949,30346949,CTRI/2012/08/002891,Chapra District Hospital (Saran),1761,2018,Miltefosine,"Field safety and effectiveness of new visceral leishmaniasis treatment regimens within public health facilities in Bihar, India",India Subcontinent,84.730634,Published,"Vishal Goyal, Raman Mahajan, Krishna Pandey, Shambhu Nath Singh, Ravi Shankar Singh, Nathalie Strub-Wourgaft, Fabiana Alves, Vidya Nand Rabi Das, Roshan Kamal Topno, Bhawna Sharma, Manica Balasegaram, Caryn Bern, Allen Hightower, Suman Rijal, Sally Ellis, Temmy Sunyoto, Sakib Burza, Nines Lima, Pradeep Das, Jorge Alvar","",Non-comparative multi-arm,1,Mixed,No,vl,
India (IND),25.781675,,"233",https://www.ncbi.nlm.nih.gov/pubmed/30346949,30346949,CTRI/2012/08/002891,Chapra District Hospital (Saran),1761,2018,Liposomal Amphotericin B (L-AmB),"Field safety and effectiveness of new visceral leishmaniasis treatment regimens within public health facilities in Bihar, India",India Subcontinent,84.730634,Published,"Vishal Goyal, Raman Mahajan, Krishna Pandey, Shambhu Nath Singh, Ravi Shankar Singh, Nathalie Strub-Wourgaft, Fabiana Alves, Vidya Nand Rabi Das, Roshan Kamal Topno, Bhawna Sharma, Manica Balasegaram, Caryn Bern, Allen Hightower, Suman Rijal, Sally Ellis, Temmy Sunyoto, Sakib Burza, Nines Lima, Pradeep Das, Jorge Alvar","",Non-comparative multi-arm,1,Mixed,No,vl,
India (IND),25.781675,,"233",https://www.ncbi.nlm.nih.gov/pubmed/30346949,30346949,CTRI/2012/08/002891,Chapra District Hospital (Saran),1761,2018,Paromomycin,"Field safety and effectiveness of new visceral leishmaniasis treatment regimens within public health facilities in Bihar, India",India Subcontinent,84.730634,Published,"Vishal Goyal, Raman Mahajan, Krishna Pandey, Shambhu Nath Singh, Ravi Shankar Singh, Nathalie Strub-Wourgaft, Fabiana Alves, Vidya Nand Rabi Das, Roshan Kamal Topno, Bhawna Sharma, Manica Balasegaram, Caryn Bern, Allen Hightower, Suman Rijal, Sally Ellis, Temmy Sunyoto, Sakib Burza, Nines Lima, Pradeep Das, Jorge Alvar","",Non-comparative multi-arm,1,Mixed,No,vl,
India (IND),27.036864,,"245",,,CTRI/2019/04/018673,India -  Site Unknown,140,,Amphotericin B Liposome,"To compare the blood levels and side effects between liposomal Amphotericin B Injection of Sun Pharmaceutical Industries Limited and AmBisomeÂ® of Astellas Pharma US, Inc.",India Subcontinent,83.830117,Active,"Arshad Khuroo, Sharad Kholambe","",Comparative,0,Serological,No,vl,
India (IND),26.166981,Spleen,"143",http://www.ncbi.nlm.nih.gov/pubmed/8979612,8979611,-1,S.K Medical College Hospital,32,1996,Amphotericin B deoxycholate,Amphotericin B in resistant visceral leishmaniasis.,India Subcontinent,85.391184,Published,"Sahay AS, Jha TK.",Amphotericin B,Single Group,0,Parasitological,Unspecified,vl,
Uganda (UGA),1.954237,Serological,"87",http://www.ncbi.nlm.nih.gov/pubmed/18186975,18186974,-9,"Amudat Hospital, Uganda",371,2008,Sodium stibogluconate,Safety and effectiveness of amphotericin B deoxycholate for the treatment of visceral leishmaniasis in Uganda.,Eastern Africa,34.945197,Published,"Mueller Y, Nguimfack A, Cavailler P, Couffignal S, Rwakimari JB, Loutan L, Chappuis F.",Sodium stibogluconate; Amphotericin B deoxycholate,Single Group,0,Serological,Unspecified,vl,
Uganda (UGA),1.954237,Serological,"87",http://www.ncbi.nlm.nih.gov/pubmed/18186975,18186974,-9,"Amudat Hospital, Uganda",371,2008,Amphotericin B deoxycholate,Safety and effectiveness of amphotericin B deoxycholate for the treatment of visceral leishmaniasis in Uganda.,Eastern Africa,34.945197,Published,"Mueller Y, Nguimfack A, Cavailler P, Couffignal S, Rwakimari JB, Loutan L, Chappuis F.",Sodium stibogluconate; Amphotericin B deoxycholate,Single Group,0,Serological,Unspecified,vl,
India (IND),25.620021,Spleen,"2",http://www.ncbi.nlm.nih.gov/pubmed/11137652,11137652,-9,Patna Medical College Hospital,34,2001,Liposomal Amphotericin B (L-AmB),A single high dose treatment of kala-azar with Ambisome (amphotericin B lipid complex): a pilot study.,India Subcontinent,85.159811,Published,Thakur CP.,Amphotericin B deoxycholate; Liposomal Amphotericin B,Dose finding,0,Parasitological,No,vl,
Kenya (KEN),-1.313005,Spleen,"71",http://www.ncbi.nlm.nih.gov/pubmed/7828501,7828500,-9,Kenya Medical Research institute,65,1994,Sodium stibogluconate,Is one year follow-up justified in kala-azar post-treatment?,Eastern Africa,36.803282,Published,"Nyakundi PM, Wasunna KM, Rashid JR, Gachihi GS, Mbugua J, Kirigi G, Muttunga J.",Sodium stibogluconate; Allopurinol,Comparative,0,Parasitological,Unspecified,vl,
Kenya (KEN),-1.313005,Spleen,"71",http://www.ncbi.nlm.nih.gov/pubmed/7828501,7828500,-9,Kenya Medical Research institute,65,1994,Allopurinol,Is one year follow-up justified in kala-azar post-treatment?,Eastern Africa,36.803282,Published,"Nyakundi PM, Wasunna KM, Rashid JR, Gachihi GS, Mbugua J, Kirigi G, Muttunga J.",Sodium stibogluconate; Allopurinol,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.118589,Spleen,"137",http://www.ncbi.nlm.nih.gov/pubmed/12792385,12792385,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",39,2003,Miltefosine,Oral miltefosine treatment in children with mild to moderate Indian visceral leishmaniasis.,India Subcontinent,85.400719,Published,"Sundar S, Jha TK, Sindermann H, Junge K, Bachmann P, Berman J.",Miltefosine,Dose finding,0,Parasitological,No,vl,
India (IND),26.118589,Spleen,"108",http://www.ncbi.nlm.nih.gov/pubmed/9924534,9924533,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",77,1998,Amphotericin B lipid complex (ABLC),Treatment of antimony-unresponsive Indian visceral leishmaniasis with ultra-short courses of amphotericin-B-lipid complex.,India Subcontinent,85.400719,Published,"Sundar S, Goyal AK, More DK, Singh MK, Murray HW.",Amphotericin B lipid complex,Dose finding,0,Parasitological,Unspecified,vl,
Brazil (BRA),-20.307558,Bone,"111",http://www.ncbi.nlm.nih.gov/pubmed/7660447,7660446,-9,Hospital Infantil Nossa Senhora da Glória,10,1995,Amphotericin B colloidal dispersion (ABCD),Treatment of kala-azar in Brazil with Amphocil (amphotericin B cholesterol dispersion) for 5 days.,South America,-40.299789,Published,"Dietze R, Fagundes SM, Brito EF, Milan EP, Feitosa TF, Suassuna FA, Fonschiffrey G, Ksionski G, Dember J.",Amphotericin B dispersion,Single Group,1,Parasitological,Unspecified,vl,
Spain (ESP),37.40599,Bone,"168",http://www.ncbi.nlm.nih.gov/pubmed/11117649,11117648,-9,"Servicio de Enfermedades Infecciosas, Hospital Universitario",32,2000,Meglumine antimoniate,Prospective evaluation and follow-up of European patients with visceral leishmaniasis and HIV-1 coinfection in the era of highly active antiretroviral therapy.,Mediterranean,-5.9875722,Published,"Villanueva JL, Alarcón A, Bernabeu-Wittel M, Cordero E, Prados D, Regordán C, Alvar J.",Meglumine antimoniate; Liposomal Amphotericin B; Amphotericin B lipid complex,Comparative,0,Parasitological,Unspecified,vl,
Spain (ESP),37.40599,Bone,"168",http://www.ncbi.nlm.nih.gov/pubmed/11117649,11117648,-9,"Servicio de Enfermedades Infecciosas, Hospital Universitario",32,2000,Amphotericin B lipid complex (ABLC),Prospective evaluation and follow-up of European patients with visceral leishmaniasis and HIV-1 coinfection in the era of highly active antiretroviral therapy.,Mediterranean,-5.9875722,Published,"Villanueva JL, Alarcón A, Bernabeu-Wittel M, Cordero E, Prados D, Regordán C, Alvar J.",Meglumine antimoniate; Liposomal Amphotericin B; Amphotericin B lipid complex,Comparative,0,Parasitological,Unspecified,vl,
Spain (ESP),37.40599,Bone,"168",http://www.ncbi.nlm.nih.gov/pubmed/11117649,11117648,-9,"Servicio de Enfermedades Infecciosas, Hospital Universitario",32,2000,Liposomal Amphotericin B (L-AmB),Prospective evaluation and follow-up of European patients with visceral leishmaniasis and HIV-1 coinfection in the era of highly active antiretroviral therapy.,Mediterranean,-5.9875722,Published,"Villanueva JL, Alarcón A, Bernabeu-Wittel M, Cordero E, Prados D, Regordán C, Alvar J.",Meglumine antimoniate; Liposomal Amphotericin B; Amphotericin B lipid complex,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.118589,Spleen,"116",http://www.ncbi.nlm.nih.gov/pubmed/9851384,9851383,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",30,1998,Miltefosine,Trial of oral miltefosine for visceral leishmaniasis.,India Subcontinent,85.400719,Published,"Sundar S, Rosenkaimer F, Makharia MK, Goyal AK, Mandal AK, Voss A, Hilgard P, Murray HW.",Miltefosine,Dose finding,0,Parasitological,No,vl,
India (IND),22.575014,Spleen/bone,"212",,,CTRI/2016/08/007190,"School of Tropical Medicine, Calcutta Medical College, Kolkata, India",100,,Miltefosine,Combination chemotherapy against visceral leishmaniasis: Comparative evaluation between miltefosine for 4 weeks and 2 weeks miltefosine combined with single dose liposomal amphotericin B in a tertiary care centre in Kolkata,India Subcontinent,88.359621,Completed,"Rama Prosad Goswami, Sukhen Das",Miltefosine; Liposomal Amphotericin B,Comparative,0,Parasitological,Unspecified,vl,
India (IND),22.575014,Spleen/bone,"212",,,CTRI/2016/08/007190,"School of Tropical Medicine, Calcutta Medical College, Kolkata, India",100,,Liposomal Amphotericin B (L-AmB),Combination chemotherapy against visceral leishmaniasis: Comparative evaluation between miltefosine for 4 weeks and 2 weeks miltefosine combined with single dose liposomal amphotericin B in a tertiary care centre in Kolkata,India Subcontinent,88.359621,Completed,"Rama Prosad Goswami, Sukhen Das",Miltefosine; Liposomal Amphotericin B,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.118589,Spleen/bone,"209",,,CTRI/2017/02/007773,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",564,,Liposomal Amphotericin B (L-AmB),"A Phase III, Open Label, Randomized Trial of Three Single Dose Treatment Regimens of FungisomeTM (Either Alone or in Combination with Miltefosine) Compared with Single Dose Treatment Regimen of AmBisome®, for Visceral Leishmaniasis (VL) in India",India Subcontinent,85.400719,Active,"Shyam Sundar, Krishna Pandey, Rama Prasad Goswami, Lily Verma, Ranjana K Seth",Miltefosine; Liposomal Amphotericin B,Comparative,1,Parasitological,Unspecified,vl,
Sudan (SDN),13.845118,Spleen/bone/lymph,"63",http://www.ncbi.nlm.nih.gov/pubmed/21049060,21049060,NCT00255568,"Kassab Hospital, Ministry of Health, Gedaref State, Sudan",270,2010,Sodium stibogluconate,"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial.",Eastern Africa,35.422757,Published,"Hailu A, Musa A, Wasunna M, Balasegaram M, Yifru S, Mengistu G, Hurissa Z, Hailu W, Weldegebreal T, Tesfaye S, Makonnen E, Khalil E, Ahmed O, Fadlalla A, El-Hassan A, Raheem M, Mueller M, Koummuki Y, Rashid J, Mbui J, Mucee G, Njoroge S, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Ethiopia, Kenya"
Sudan (SDN),13.845118,Spleen/bone/lymph,"63",http://www.ncbi.nlm.nih.gov/pubmed/21049060,21049060,NCT00255568,"Kassab Hospital, Ministry of Health, Gedaref State, Sudan",270,2010,Paromomycin,"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial.",Eastern Africa,35.422757,Published,"Hailu A, Musa A, Wasunna M, Balasegaram M, Yifru S, Mengistu G, Hurissa Z, Hailu W, Weldegebreal T, Tesfaye S, Makonnen E, Khalil E, Ahmed O, Fadlalla A, El-Hassan A, Raheem M, Mueller M, Koummuki Y, Rashid J, Mbui J, Mucee G, Njoroge S, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Ethiopia, Kenya"
Brazil (BRA),-10.181623,Bone/serological,"192",https://www.ncbi.nlm.nih.gov/pubmed/28327805,28327804,-9,"Hospital Dona Regina, Palmas, Tocantins, Brazil",101,2017,Meglumine antimoniate,"Efficacy and safety of amphotericin B deoxycholate versus N-methylglucamine antimoniate in pediatric visceral leishmaniasis: an open-label, randomized, and controlled pilot trial in Brazil",South America,-48.327869,Published,"Myrlena Mescouto Borges, Maria Cristina da Silva Pranchevicius, Elza Ferreira Noronha, Gustavo Adolfo Sierra Romero, César Omar Carranza-Tamayo",Meglumine antimoniate; Amphotericin B deoxycholate,Comparative,1,Mixed,No,vl,
Brazil (BRA),-10.181623,Bone/serological,"192",https://www.ncbi.nlm.nih.gov/pubmed/28327805,28327804,-9,"Hospital Dona Regina, Palmas, Tocantins, Brazil",101,2017,Amphotericin B deoxycholate,"Efficacy and safety of amphotericin B deoxycholate versus N-methylglucamine antimoniate in pediatric visceral leishmaniasis: an open-label, randomized, and controlled pilot trial in Brazil",South America,-48.327869,Published,"Myrlena Mescouto Borges, Maria Cristina da Silva Pranchevicius, Elza Ferreira Noronha, Gustavo Adolfo Sierra Romero, César Omar Carranza-Tamayo",Meglumine antimoniate; Amphotericin B deoxycholate,Comparative,1,Mixed,No,vl,
